treat_cond,prop_teammates_other_caste,prop_opponents_other_caste,baseline_prop_other_caste_nbrs,baseline_bowl_test_speed,n_other_caste_friends,n_other_caste_future_friends,bins_teammates_other_caste,bins_opponents_other_caste,bin_midpoint_opponents
control,NA,NA,0.05000000074505806,76,0,0,NA,NA,NA
control,NA,NA,0.807692289352417,89,1,2,NA,NA,NA
team_mix,1,0.6000000238418579,0.05000000074505806,73,2,4,75-100%,"(0.575,0.625]",0.615526324824283
team_mix,0.75,0.5,0.23529411852359772,92,75,80,50-75%,"(0.35,0.525]",0.49381187086058137
team_mix,0.5,0.6499999761581421,0.23529411852359772,82,9,18,25-50%,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.78125,94,1,3,NA,NA,NA
team_mix,0.75,0.675000011920929,0.7058823704719543,69,0,7,50-75%,"(0.65,0.675]",0.675000011920929
team_mix,0.25,0.875,0.42307692766189575,108,0,0,0-25%,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.7058823704719543,101,6,6,NA,NA,NA
team_mix,0.75,0.7250000238418579,0.40909090638160706,57,3,4,50-75%,"(0.7,0.725]",0.7250000238418579
team_mix,0.5,0.75,0.23529411852359772,83,5,11,25-50%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.800000011920929,0.23529411852359772,76,8,10,NA,"(0.775,0.8]",0.800000011920929
team_mix,1,0.550000011920929,0.23529411852359772,98,13,19,75-100%,"(0.525,0.575]",0.5640410944207074
team_mix,0.75,0.6000000238418579,0.40909090638160706,58,0,1,50-75%,"(0.575,0.625]",0.615526324824283
team_mix,0.25,0.699999988079071,0.807692289352417,101,0,1,0-25%,"(0.675,0.7]",0.699999988079071
team_mix,1,0.675000011920929,0.42307692766189575,70,0,1,75-100%,"(0.65,0.675]",0.675000011920929
team_mix,0.75,0.625,0.78125,97,5,6,50-75%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.42307692766189575,112,2,2,NA,NA,NA
team_mix,0.75,0.7749999761581421,0.3333333432674408,77,1,1,50-75%,"(0.725,0.775]",0.7600446332778249
team_mix,0.5,0.75,0.0476190485060215,87,18,35,25-50%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.625,0.7058823704719543,84,2,23,NA,"(0.575,0.625]",0.615526324824283
team_mix,1,0.574999988079071,0.23529411852359772,91,4,14,75-100%,"(0.525,0.575]",0.5640410944207074
team_mix,0.5,0.824999988079071,0.78125,107,0,1,25-50%,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.05882352963089943,98,1,11,NA,NA,NA
team_hom,0,0.8999999761581421,0.42307692766189575,116,0,1,NA,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.05000000074505806,80,0,0,NA,NA,NA
team_mix,0.25,0.875,0.42307692766189575,92,0,5,0-25%,"(0.8,0.975]",0.8523437511175871
team_mix,1,0.8500000238418579,0.8387096524238586,84,0,2,75-100%,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.05882352963089943,98,6,14,NA,NA,NA
team_mix,0.25,0.699999988079071,0.3333333432674408,92,NA,NA,0-25%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.0476190485060215,80,11,13,NA,NA,NA
team_mix,0.75,0.675000011920929,0.20930233597755432,85,2,2,50-75%,"(0.65,0.675]",0.675000011920929
team_hom,0,0.7749999761581421,0.641791045665741,84,0,2,NA,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.7333333492279053,86,0,0,NA,NA,NA
control,NA,NA,0.05882352963089943,73,0,0,NA,NA,NA
team_mix,0.5,0.8500000238418579,0.641791045665741,86,2,5,25-50%,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.641791045665741,104,6,20,NA,NA,NA
team_mix,0.5,0.5249999761581421,0.7058823704719543,76,1,3,25-50%,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.8500000238418579,0.8333333134651184,96,1,20,NA,"(0.8,0.975]",0.8523437511175871
team_mix,1,0.699999988079071,0.23529411852359772,86,9,13,75-100%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.20930233597755432,78,0,0,NA,NA,NA
team_hom,0,0.824999988079071,0.641791045665741,74,0,0,NA,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.699999988079071,0.807692289352417,115,2,5,25-50%,"(0.675,0.7]",0.699999988079071
team_hom,0,0.699999988079071,0.23529411852359772,100,0,0,NA,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.3333333432674408,92,0,0,NA,NA,NA
control,NA,NA,0.8928571343421936,102,2,6,NA,NA,NA
team_mix,1,0.8999999761581421,0.42307692766189575,98,1,15,75-100%,"(0.8,0.975]",0.8523437511175871
team_mix,0.25,0.699999988079071,0.3333333432674408,98,0,0,0-25%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.05000000074505806,100,0,1,NA,NA,NA
team_hom,0,0.7749999761581421,0.641791045665741,74,0,0,NA,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.523809552192688,88,NA,NA,NA,NA,NA
team_mix,0.75,0.6499999761581421,0.05882352963089943,100,2,2,50-75%,"(0.625,0.65]",0.6499999761581421
team_hom,0,0.625,0.7058823704719543,89,4,7,NA,"(0.575,0.625]",0.615526324824283
team_mix,0.75,0.699999988079071,0.23529411852359772,82,0,1,50-75%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.05882352963089943,112,3,4,NA,NA,NA
control,NA,NA,0.23529411852359772,68,9,15,NA,NA,NA
control,NA,NA,0.23529411852359772,100,1,2,NA,NA,NA
team_mix,1,0.6499999761581421,0.05882352963089943,78,4,8,75-100%,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.8928571343421936,107,2,12,NA,NA,NA
control,NA,NA,0.641791045665741,89,0,0,NA,NA,NA
control,NA,NA,0.05882352963089943,106,48,48,NA,NA,NA
team_hom,0,0.574999988079071,0.807692289352417,77,3,12,NA,"(0.525,0.575]",0.5640410944207074
team_hom,0,0.699999988079071,0.23529411852359772,73,12,13,NA,"(0.675,0.7]",0.699999988079071
team_mix,0.75,0.75,0.42307692766189575,79,7,21,50-75%,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.42307692766189575,94,0,2,NA,NA,NA
control,NA,NA,0.807692289352417,80,0,0,NA,NA,NA
control,NA,NA,0.23529411852359772,106,NA,NA,NA,NA,NA
team_mix,0.75,0.574999988079071,0.23529411852359772,87,4,8,50-75%,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.05000000074505806,76,0,0,NA,NA,NA
control,NA,NA,0.7058823704719543,100,8,22,NA,NA,NA
team_hom,0,0.800000011920929,0.23529411852359772,97,0,5,NA,"(0.775,0.8]",0.800000011920929
control,NA,NA,0.42307692766189575,89,0,0,NA,NA,NA
team_mix,0.75,0.7250000238418579,0.05000000074505806,97,0,2,50-75%,"(0.7,0.725]",0.7250000238418579
team_mix,0.25,0.875,0.05000000074505806,90,0,0,0-25%,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.23529411852359772,81,5,11,NA,NA,NA
team_hom,0,0.5249999761581421,0.7058823704719543,73,0,10,NA,"(0.35,0.525]",0.49381187086058137
control,NA,NA,0.23529411852359772,84,12,28,NA,NA,NA
team_mix,0.75,0.6499999761581421,0.05882352963089943,84,1,6,50-75%,"(0.625,0.65]",0.6499999761581421
team_hom,0,0.75,0.0476190485060215,99,1,4,NA,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.8333333134651184,97,4,9,NA,NA,NA
team_hom,0,0.699999988079071,0.3333333432674408,84,0,2,NA,"(0.675,0.7]",0.699999988079071
team_mix,0.5,0.6499999761581421,0.23529411852359772,89,3,13,25-50%,"(0.625,0.65]",0.6499999761581421
team_hom,0,0.824999988079071,0.05000000074505806,82,0,0,NA,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.23529411852359772,85,0,6,NA,NA,NA
team_hom,0,0.625,0.807692289352417,119,1,3,NA,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.05882352963089943,91,0,0,NA,NA,NA
team_hom,0,0.824999988079071,0.42307692766189575,86,NA,NA,NA,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.8500000238418579,0.05882352963089943,100,0,5,25-50%,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.05000000074505806,86,0,0,NA,NA,NA
team_mix,1,0.75,0.8387096524238586,99,2,19,75-100%,"(0.725,0.775]",0.7600446332778249
team_mix,0.5,0.675000011920929,0.23529411852359772,85,5,7,25-50%,"(0.65,0.675]",0.675000011920929
team_mix,0.75,0.6499999761581421,0.7058823704719543,87,8,14,50-75%,"(0.625,0.65]",0.6499999761581421
team_mix,0.5,0.574999988079071,0.7333333492279053,97,2,4,25-50%,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.641791045665741,99,9,11,NA,NA,NA
team_mix,1,0.8500000238418579,0.3333333432674408,96,0,0,75-100%,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.7250000238418579,0.7058823704719543,91,0,8,25-50%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.20930233597755432,78,0,0,NA,NA,NA
team_hom,0,0.7749999761581421,0.05882352963089943,96,4,16,NA,"(0.725,0.775]",0.7600446332778249
team_mix,0.75,0.800000011920929,0.05882352963089943,97,2,2,50-75%,"(0.775,0.8]",0.800000011920929
control,NA,NA,0.40909090638160706,74,1,2,NA,NA,NA
team_hom,0,0.550000011920929,0.7333333492279053,106,7,9,NA,"(0.525,0.575]",0.5640410944207074
team_hom,0,0.6499999761581421,0.40909090638160706,73,8,10,NA,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.05882352963089943,92,0,0,NA,NA,NA
team_hom,0,0.7749999761581421,0.05882352963089943,98,0,0,NA,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.23529411852359772,108,9,12,NA,NA,NA
team_mix,0.75,0.7749999761581421,0.42307692766189575,82,0,0,50-75%,"(0.725,0.775]",0.7600446332778249
team_mix,0.5,0.824999988079071,0.78125,79,1,3,25-50%,"(0.8,0.975]",0.8523437511175871
team_mix,0.75,0.7749999761581421,0.05000000074505806,92,2,13,50-75%,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.23529411852359772,79,6,6,NA,NA,NA
control,NA,NA,0.05882352963089943,88,0,0,NA,NA,NA
team_mix,0.75,0.7250000238418579,0.05000000074505806,90,NA,NA,50-75%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.807692289352417,98,4,9,NA,NA,NA
team_mix,0.75,0.5,0.40909090638160706,61,1,1,50-75%,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.699999988079071,0.23529411852359772,88,0,0,NA,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.05000000074505806,94,NA,NA,NA,NA,NA
control,NA,NA,0.641791045665741,76,0,0,NA,NA,NA
control,NA,NA,0.807692289352417,95,0,3,NA,NA,NA
team_hom,0,0.625,0.807692289352417,88,4,7,NA,"(0.575,0.625]",0.615526324824283
team_hom,0,0.8999999761581421,0.05000000074505806,52,0,0,NA,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.8999999761581421,0.05000000074505806,89,0,0,NA,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.7749999761581421,0.40909090638160706,85,3,5,25-50%,"(0.725,0.775]",0.7600446332778249
team_mix,0.75,0.75,0.05882352963089943,91,4,11,50-75%,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.641791045665741,83,3,5,NA,NA,NA
team_mix,0.75,0.75,0.42307692766189575,86,2,5,50-75%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.699999988079071,0.8333333134651184,107,4,9,NA,"(0.675,0.7]",0.699999988079071
team_mix,0.5,0.7250000238418579,0.7333333492279053,94,2,13,25-50%,"(0.7,0.725]",0.7250000238418579
team_hom,0,0.625,0.7058823704719543,86,1,5,NA,"(0.575,0.625]",0.615526324824283
team_hom,0,0.574999988079071,0.807692289352417,82,0,1,NA,"(0.525,0.575]",0.5640410944207074
team_mix,1,0.625,0.523809552192688,78,2,7,75-100%,"(0.575,0.625]",0.615526324824283
team_hom,0,0.675000011920929,0.1428571492433548,93,6,12,NA,"(0.65,0.675]",0.675000011920929
team_mix,0.5,0.675000011920929,0.550000011920929,98,3,4,25-50%,"(0.65,0.675]",0.675000011920929
team_hom,0,0.5249999761581421,0.523809552192688,83,3,5,NA,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.550000011920929,0.523809552192688,78,0,0,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.523809552192688,74,0,3,NA,NA,NA
control,NA,NA,0.550000011920929,88,NA,NA,NA,NA,NA
team_mix,1,0.574999988079071,0.550000011920929,100,5,5,75-100%,"(0.525,0.575]",0.5640410944207074
team_hom,0,0.75,0.9000000357627869,86,8,10,NA,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.515625,105,3,10,NA,NA,NA
team_hom,0,0.550000011920929,0.523809552192688,89,6,7,NA,"(0.525,0.575]",0.5640410944207074
team_mix,1,0.574999988079071,0.523809552192688,75,4,11,75-100%,"(0.525,0.575]",0.5640410944207074
team_mix,0.5,0.7250000238418579,0.9047619104385376,86,2,3,25-50%,"(0.7,0.725]",0.7250000238418579
team_hom,0,0.550000011920929,0.7777777910232544,94,6,10,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.9047619104385376,104,1,1,NA,NA,NA
control,NA,NA,0.523809552192688,100,1,1,NA,NA,NA
team_mix,0.5,0.8500000238418579,0.07692307978868484,92,3,6,25-50%,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.800000011920929,0.29629629850387573,83,1,1,25-50%,"(0.775,0.8]",0.800000011920929
team_hom,0,0.5249999761581421,0.20930233597755432,77,10,10,NA,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.8500000238418579,0.523809552192688,100,1,6,NA,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.8999999761581421,0.05000000074505806,83,0,1,NA,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.574999988079071,0.7000000476837158,82,4,4,25-50%,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.0476190485060215,97,13,25,NA,NA,NA
team_mix,0.75,0.44999998807907104,0.20930233597755432,96,1,2,50-75%,"(0.35,0.525]",0.49381187086058137
team_mix,1,0.574999988079071,0.13793103396892548,89,0,5,75-100%,"(0.525,0.575]",0.5640410944207074
team_mix,0.75,0.75,0.8500000238418579,103,4,7,50-75%,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.13793103396892548,105,0,0,NA,NA,NA
control,NA,NA,0.5,91,4,4,NA,NA,NA
team_mix,0.75,0.625,0.641791045665741,80,0,11,50-75%,"(0.575,0.625]",0.615526324824283
team_mix,0.75,0.7250000238418579,0.20930233597755432,88,0,0,50-75%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.8857142925262451,80,5,8,NA,NA,NA
team_mix,0.75,0.550000011920929,0.641791045665741,95,10,13,50-75%,"(0.525,0.575]",0.5640410944207074
team_mix,1,0.675000011920929,0.7272727489471436,79,2,2,75-100%,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.7000000476837158,80,1,1,NA,NA,NA
team_hom,0,0.574999988079071,0.29629629850387573,95,NA,NA,NA,"(0.525,0.575]",0.5640410944207074
team_hom,0,0.800000011920929,0.0476190485060215,81,3,6,NA,"(0.775,0.8]",0.800000011920929
team_hom,0,0.625,0.5,81,12,12,NA,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.13793103396892548,92,3,6,NA,NA,NA
team_mix,0.5,0.574999988079071,0.13793103396892548,84,2,2,25-50%,"(0.525,0.575]",0.5640410944207074
team_mix,1,0.699999988079071,0.641791045665741,79,6,11,75-100%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.13793103396892548,77,3,3,NA,NA,NA
team_hom,0,0.550000011920929,0.13793103396892548,86,1,1,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.0476190485060215,106,7,18,NA,NA,NA
control,NA,NA,0.8500000238418579,102,1,3,NA,NA,NA
team_hom,0,0.574999988079071,0.29629629850387573,79,0,0,NA,"(0.525,0.575]",0.5640410944207074
team_hom,0,0.625,0.29629629850387573,77,1,1,NA,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.20930233597755432,89,0,0,NA,NA,NA
team_hom,0,0.5249999761581421,0.20930233597755432,85,2,8,NA,"(0.35,0.525]",0.49381187086058137
control,NA,NA,0.523809552192688,72,0,1,NA,NA,NA
control,NA,NA,0.5,56,15,34,NA,NA,NA
team_hom,0,0.824999988079071,0.42307692766189575,86,2,4,NA,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.8857142925262451,96,4,7,NA,NA,NA
control,NA,NA,0.13793103396892548,68,0,0,NA,NA,NA
team_mix,0.5,0.699999988079071,0.20930233597755432,87,4,8,25-50%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.5,67,0,0,NA,NA,NA
control,NA,NA,0.05000000074505806,83,2,12,NA,NA,NA
control,NA,NA,0.8387096524238586,96,0,5,NA,NA,NA
team_mix,0.5,0.699999988079071,0.29629629850387573,99,5,10,25-50%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.29629629850387573,75,9,15,NA,NA,NA
control,NA,NA,0.13793103396892548,79,NA,NA,NA,NA,NA
team_hom,0,0.574999988079071,0.29629629850387573,103,1,1,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.20930233597755432,86,1,7,NA,NA,NA
control,NA,NA,0.05000000074505806,105,2,3,NA,NA,NA
control,NA,NA,0.7272727489471436,99,0,0,NA,NA,NA
team_hom,0,0.8999999761581421,0.05000000074505806,88,2,10,NA,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.6499999761581421,0.20930233597755432,98,1,2,NA,"(0.625,0.65]",0.6499999761581421
team_mix,1,0.7250000238418579,0.8387096524238586,101,7,7,75-100%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.29629629850387573,65,2,2,NA,NA,NA
control,NA,NA,0.5,98,1,2,NA,NA,NA
control,NA,NA,0.42307692766189575,84,1,4,NA,NA,NA
control,NA,NA,0.5,85,2,3,NA,NA,NA
team_mix,0.25,0.699999988079071,0.29629629850387573,91,0,0,0-25%,"(0.675,0.7]",0.699999988079071
team_mix,0.25,0.699999988079071,0.523809552192688,91,1,5,0-25%,"(0.675,0.7]",0.699999988079071
team_mix,0.5,0.8500000238418579,0.641791045665741,101,4,4,25-50%,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.7749999761581421,0.641791045665741,98,1,3,NA,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.0476190485060215,94,4,6,NA,NA,NA
team_mix,0.75,0.7250000238418579,0.7272727489471436,76,0,0,50-75%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.29629629850387573,99,NA,NA,NA,NA,NA
control,NA,NA,0.29629629850387573,78,1,1,NA,NA,NA
team_hom,0,0.625,0.29629629850387573,87,1,7,NA,"(0.575,0.625]",0.615526324824283
team_mix,1,0.699999988079071,0.52173912525177,95,0,2,75-100%,"(0.675,0.7]",0.699999988079071
team_hom,0,0.625,0.29629629850387573,86,0,2,NA,"(0.575,0.625]",0.615526324824283
team_hom,0,0.800000011920929,0.23529411852359772,97,0,4,NA,"(0.775,0.8]",0.800000011920929
team_mix,1,0.550000011920929,0.29629629850387573,86,2,4,75-100%,"(0.525,0.575]",0.5640410944207074
team_mix,1,0.4749999940395355,0.78125,98,3,16,75-100%,"(0.35,0.525]",0.49381187086058137
control,NA,NA,0.20930233597755432,81,10,13,NA,NA,NA
team_mix,0.75,0.75,0.8333333134651184,83,6,8,50-75%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.625,0.7000000476837158,88,1,2,NA,"(0.575,0.625]",0.615526324824283
team_mix,1,0.550000011920929,0.29629629850387573,80,1,4,75-100%,"(0.525,0.575]",0.5640410944207074
team_mix,1,0.8500000238418579,0.7142857313156128,97,3,4,75-100%,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.20930233597755432,89,0,0,NA,NA,NA
team_mix,0.75,0.625,0.8387096524238586,87,9,21,50-75%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.641791045665741,85,4,7,NA,NA,NA
control,NA,NA,0.7333333492279053,118,4,10,NA,NA,NA
team_mix,0.5,0.699999988079071,0.29629629850387573,55,0,1,25-50%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.5,86,0,2,NA,NA,NA
team_mix,1,0.6000000238418579,0.13793103396892548,86,3,3,75-100%,"(0.575,0.625]",0.615526324824283
team_hom,0,0.4749999940395355,0.5,71,7,8,NA,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.625,0.7333333492279053,99,2,7,NA,"(0.575,0.625]",0.615526324824283
team_hom,0,0.550000011920929,0.13793103396892548,72,0,0,NA,"(0.525,0.575]",0.5640410944207074
team_mix,0.75,0.800000011920929,0.29629629850387573,83,1,2,50-75%,"(0.775,0.8]",0.800000011920929
team_mix,0.5,0.675000011920929,0.523809552192688,99,4,20,25-50%,"(0.65,0.675]",0.675000011920929
team_hom,0,0.824999988079071,0.641791045665741,101,7,19,NA,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.29629629850387573,78,1,1,NA,NA,NA
control,NA,NA,0.0476190485060215,89,1,5,NA,NA,NA
team_mix,0.75,0.699999988079071,0.29629629850387573,89,3,10,50-75%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0.523809552192688,98,8,26,NA,NA,NA
team_hom,0,0.6499999761581421,0.7142857313156128,87,3,8,NA,"(0.625,0.65]",0.6499999761581421
team_mix,0.75,0.699999988079071,0.29629629850387573,79,1,7,50-75%,"(0.675,0.7]",0.699999988079071
team_mix,1,0.675000011920929,0.13793103396892548,76,6,6,75-100%,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.523809552192688,85,0,2,NA,NA,NA
team_mix,0.5,0.5,0.5,93,22,39,25-50%,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.824999988079071,0.641791045665741,84,0,2,NA,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.699999988079071,0.23529411852359772,87,0,1,NA,"(0.675,0.7]",0.699999988079071
team_mix,1,0.6000000238418579,0.8387096524238586,76,1,4,75-100%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.641791045665741,74,2,7,NA,NA,NA
team_mix,0.75,0.5,0.40909090638160706,87,6,6,50-75%,"(0.35,0.525]",0.49381187086058137
team_mix,0.5,0.699999988079071,0.29629629850387573,80,0,1,25-50%,"(0.675,0.7]",0.699999988079071
